run_id,created_at,dataset,task_type,model_type,HF model id,HF dataset id,Primary metric name,Primary metric,Auxiliary metric name,Auxiliary metric,Latency,Tail latency,Participation rate,Reliability score,Mean compute time,Resource cost score,Cost efficiency,Model size,Downloads,Likes,HF model downloads,HF dataset downloads,HF model likes,HF dataset likes,Learning rate,Batch size,Data distribution,Dataset distributions,Dataset size,Explainability score,Update signature id,Signature dim,Signature norm,Update signature path,Update signature method
hf_objdet_acdf6092b6e8,2026-04-30 10:31:58,detection-datasets/coco,detection,hf_finetune,hustvl/yolos-base,detection-datasets/coco,map,0.2711161673069,map@0.5,0.4923075735569,0.278187215328217,0.65588960647583,Not Available,1.0,50.5530183000083,0.975676635741113,0.000534985787982815,127798368.0,3477.0,26.0,3477.0,15419.0,26.0,75.0,5.0e-06,2.0,iid,"benchmark: {""samples"": 24, ""total_boxes"": 201, ""avg_boxes_per_sample"": 8.375, ""class_counts"": {""0"": 53, ""1"": 1, ""2"": 10, ""7"": 1, ""15"": 3, ""18"": 14, ""21"": 1, ""23"": 2, ""24"": 1, ""26"": 2, ""27"": 2, ""28"": 2, ""30"": 2, ""32"": 2, ""34"": 5, ""35"": 4, ""36"": 1, ""38"": 1, ""39"": 4, ""41"": 1, ""43"": 1, ""45"": 4, ""46"": 8, ""47"": 1, ""48"": 1, ""49"": 3, ""50"": 2, ""53"": 2, ""54"": 14, ""56"": 21, ""57"": 3, ""58"": 1, ""60"": 2, ""62"": 1, ""63"": 3, ""65"": 6, ""66"": 2, ""67"": 1, ""69"": 1, ""71"": 1, ""73"": 10, ""77"": 1}}
train: {""samples"": 120, ""total_boxes"": 723, ""avg_boxes_per_sample"": 6.025, ""class_counts"": {""0"": 171, ""1"": 2, ""2"": 37, ""3"": 11, ""4"": 1, ""5"": 6, ""6"": 5, ""7"": 9, ""8"": 5, ""9"": 19, ""10"": 1, ""11"": 1, ""12"": 5, ""13"": 11, ""14"": 6, ""15"": 5, ""16"": 8, ""17"": 4, ""19"": 1, ""20"": 2, ""21"": 1, ""22"": 5, ""23"": 3, ""24"": 4, ""25"": 4, ""26"": 7, ""27"": 7, ""28"": 1, ""29"": 3, ""30"": 12, ""31"": 1, ""32"": 3, ""34"": 8, ""35"": 1, ""36"": 1, ""37"": 4, ""38"": 4, ""39"": 15, ""40"": 13, ""41"": 19, ""42"": 7, ""43"": 9, ""44"": 5, ""45"": 18, ""46"": 13, ""47"": 4, ""48"": 8, ""49"": 17, ""50"": 17, ""51"": 2, ""52"": 4, ""53"": 8, ""55"": 5, ""56"": 41, ""57"": 3, ""58"": 7, ""59"": 4, ""60"": 14, ""61"": 4, ""62"": 4, ""63"": 9, ""64"": 3, ""65"": 2, ""66"": 6, ""67"": 3, ""68"": 3, ""69"": 4, ""71"": 7, ""72"": 4, ""73"": 40, ""74"": 8, ""75"": 7, ""76"": 3, ""77"": 4}}",120.0,0.0482578507608089,ed47056920f9a89a4199f42a,256.0,0.435252713470566,outputs\update_signatures\hf_objdet_acdf6092b6e8\round_1\service_ed47056920f9a89a4199f42a.npz,count_sketch_random_projection
hf_imgseg_21171dab52ca,2026-04-30 10:26:31,mattmdjaga/human_parsing_dataset,segmentation,hf_finetune,mattmdjaga/segformer_b2_clothes,mattmdjaga/human_parsing_dataset,iou,0.693016412097523,dice,0.801950701451938,1.34408864974976,1.49482489824295,Not Available,1.0,135.776309399997,0.981514134797162,0.00176490949082127,27362002.0,167477.0,498.0,167477.0,246.0,498.0,48.0,5.0e-06,2.0,iid,"benchmark: {""0"": 3965618, ""1"": 6959, ""2"": 94463, ""3"": 1079, ""4"": 346784, ""5"": 47982, ""6"": 197392, ""7"": 35063, ""8"": 9477, ""9"": 25425, ""10"": 21362, ""11"": 40206, ""12"": 40026, ""13"": 41193, ""14"": 33394, ""15"": 25932, ""16"": 30564, ""17"": 17817}
train: {""0"": 19499186, ""1"": 60035, ""2"": 592321, ""3"": 16531, ""4"": 1460229, ""5"": 334126, ""6"": 674699, ""7"": 905148, ""8"": 10807, ""9"": 104439, ""10"": 104519, ""11"": 308430, ""12"": 206851, ""13"": 204646, ""14"": 204218, ""15"": 192384, ""16"": 241115, ""17"": 46140}",96.0,2.32281482484469e-06,829aad4eaf7a06fb4562391a,256.0,39.0089902069815,outputs\update_signatures\hf_imgseg_21171dab52ca\round_1\service_829aad4eaf7a06fb4562391a.npz,count_sketch_random_projection
hf_text2text_2621fc4797fa,2026-04-30 10:22:42,cnn_dailymail,text2text_generation,hf_finetune,t5-base,cnn_dailymail,rouge1,0.517024472398454,rouge2,0.2670895740656,0.16340000629425,0.177687454223633,Not Available,1.0,67.3923079000087,0.979897306851007,0.00121862426183314,222903552.0,2062568.0,774.0,2062568.0,93613.0,774.0,341.0,1.0e-05,8.0,iid,"benchmark: {""total_tokens"": 14688, ""supervised_tokens"": 11150, ""supervised_ratio"": 0.7591230936819172, ""unique_supervised_token_ids"": 3236, ""top_supervised_token_ids"": {""3"": 1014, ""5"": 535, ""7"": 299, ""8"": 229, ""31"": 210, ""12"": 205, ""9"": 203, ""6"": 178, ""16"": 168, ""1"": 153}}
train: {""total_tokens"": 73728, ""supervised_tokens"": 53604, ""supervised_ratio"": 0.72705078125, ""unique_supervised_token_ids"": 8723, ""top_supervised_token_ids"": {""3"": 4607, ""5"": 2664, ""7"": 1531, ""8"": 1025, ""6"": 1019, ""9"": 943, ""31"": 910, ""12"": 903, ""16"": 855, ""13"": 775}}",768.0,0.00536757577885324,e4fc2b6f3bf55c65e617c058,256.0,3.21898379456372,outputs\update_signatures\hf_text2text_2621fc4797fa\round_1\service_e4fc2b6f3bf55c65e617c058.npz,count_sketch_random_projection
hf_text2text_2ad22cf540e7,2026-04-30 10:20:32,allenai/scitldr,text2text_generation,hf_finetune,Salesforce/codet5-small,allenai/scitldr,rouge1,0.0,rouge2,0.0,0.0132024696895054,0.0162087917327881,Not Available,1.0,13.3325765000045,0.994655093657722,0.0,60492288.0,23356.0,81.0,23356.0,1804.0,81.0,35.0,2.0e-05,4.0,iid,"benchmark: {""total_tokens"": 280, ""supervised_tokens"": 280, ""supervised_ratio"": 1.0, ""unique_supervised_token_ids"": 2, ""top_supervised_token_ids"": {""3"": 140, ""2"": 140}}
train: {""total_tokens"": 1400, ""supervised_tokens"": 1400, ""supervised_ratio"": 1.0, ""unique_supervised_token_ids"": 2, ""top_supervised_token_ids"": {""3"": 700, ""2"": 700}}",700.0,0.335932429185584,27856a86abfb7bf711f23356,256.0,6.04356977159291,outputs\update_signatures\hf_text2text_2ad22cf540e7\round_1\service_27856a86abfb7bf711f23356.npz,count_sketch_random_projection
hf_fillmask_81b1391f8a50,2026-04-30 10:19:33,cnn_dailymail,classification,hf,bert-base-cased,cnn_dailymail,masked_accuracy,0.59767345814978,perplexity_proxy,Not Available,0.084332674741745,0.0877178311347961,Not Available,1.0,8.1134158000059,0.99329711538685,0.00368170871837842,108932934.0,4323699.0,358.0,4323699.0,93613.0,358.0,341.0,Not Available,8.0,iid,"benchmark: {""total_tokens"": 98304, ""masked_tokens"": 14528, ""masked_ratio"": 0.14778645833333334, ""unique_masked_token_ids"": 4413, ""top_masked_token_ids"": {""1103"": 584, ""117"": 465, ""119"": 449, ""170"": 307, ""1106"": 278, ""112"": 260, ""1107"": 244, ""1104"": 243, ""1105"": 214, ""118"": 204}}
train: {""total_tokens"": 98304, ""masked_tokens"": 14409, ""masked_ratio"": 0.146575927734375, ""unique_masked_token_ids"": 4336, ""top_masked_token_ids"": {""119"": 647, ""117"": 539, ""1103"": 524, ""1104"": 290, ""170"": 289, ""118"": 253, ""1106"": 247, ""1107"": 222, ""1105"": 210, ""112"": 179}}",768.0,0.027561506132459,Not Available,Not Available,Not Available,Not Available,Not Available
hf_tokencls_38ab5f41b740,2026-04-30 10:18:48,BramVanroy/conll2002,classification,hf_finetune,google/electra-base-discriminator,BramVanroy/conll2002,f1,0.881833241303147,accuracy,0.827684957782983,0.0614545345306396,0.0664232969284058,Not Available,1.0,20.1066167000099,0.992339497485427,0.00487052823990196,108898569.0,52825443.0,100.0,52825443.0,65.0,100.0,0.0,3.0e-05,8.0,iid,"benchmark: {""total_tokens"": 19584, ""supervised_tokens"": 1811, ""supervised_ratio"": 0.0924734477124183, ""unique_supervised_token_ids"": 9, ""top_supervised_token_ids"": {""0"": 1595, ""7"": 45, ""1"": 43, ""3"": 36, ""2"": 33, ""5"": 32, ""4"": 17, ""8"": 8, ""6"": 2}}
train: {""total_tokens"": 98304, ""supervised_tokens"": 9077, ""supervised_ratio"": 0.09233601888020833, ""unique_supervised_token_ids"": 9, ""top_supervised_token_ids"": {""0"": 8204, ""1"": 215, ""5"": 149, ""7"": 147, ""2"": 126, ""3"": 108, ""4"": 63, ""8"": 43, ""6"": 22}}",768.0,0.0,fef4dec36602d6da835111a5,256.0,3.15322582921585,outputs\update_signatures\hf_tokencls_38ab5f41b740\round_1\service_fef4dec36602d6da835111a5.npz,count_sketch_random_projection
hf_text2text_c621827aa318,2026-04-30 10:17:58,databricks/databricks-dolly-15k,text2text_generation,hf,google/flan-t5-small,databricks/databricks-dolly-15k,rouge1,0.0889443916580252,rouge2,0.0228591371929188,0.296164304018021,0.665180790424347,Not Available,1.0,56.9679296000104,0.988571237615495,0.00034919166871514,76961152.0,587417.0,477.0,587417.0,36183.0,477.0,954.0,Not Available,4.0,iid,"benchmark: {""total_tokens"": 73728, ""supervised_tokens"": 39528, ""supervised_ratio"": 0.5361328125, ""unique_supervised_token_ids"": 7596, ""top_supervised_token_ids"": {""6"": 1908, ""3"": 1744, ""5"": 1284, ""8"": 1137, ""9"": 968, ""7"": 912, ""11"": 813, ""1"": 768, ""13"": 713, ""19"": 618}}
train: {""total_tokens"": 73728, ""supervised_tokens"": 40881, ""supervised_ratio"": 0.5544840494791666, ""unique_supervised_token_ids"": 7780, ""top_supervised_token_ids"": {""3"": 1915, ""6"": 1718, ""5"": 1295, ""8"": 1249, ""9"": 948, ""7"": 938, ""11"": 798, ""1"": 768, ""13"": 680, ""12"": 632}}",768.0,0.11768489980666,Not Available,Not Available,Not Available,Not Available,Not Available
hf_text2text_bb551de19a12,2026-04-30 10:15:57,knkarthick/samsum,text2text_generation,hf_finetune,t5-base,knkarthick/samsum,rouge1,0.255439350660635,rouge2,0.1308601753422,0.174181032180786,0.187539160251617,Not Available,1.0,68.0069555999944,0.980112759662801,0.000608105806918304,222903552.0,2062568.0,774.0,2062568.0,5640.0,774.0,40.0,2.0e-05,8.0,iid,"benchmark: {""total_tokens"": 12699, ""supervised_tokens"": 4076, ""supervised_ratio"": 0.32097015513032523, ""unique_supervised_token_ids"": 1228, ""top_supervised_token_ids"": {""5"": 283, ""1"": 153, ""3"": 139, ""8"": 117, ""12"": 112, ""7"": 110, ""9"": 107, ""11"": 93, ""31"": 86, ""19"": 72}}
train: {""total_tokens"": 63744, ""supervised_tokens"": 22569, ""supervised_ratio"": 0.3540568524096386, ""unique_supervised_token_ids"": 3439, ""top_supervised_token_ids"": {""5"": 1610, ""1"": 768, ""3"": 676, ""12"": 656, ""7"": 607, ""9"": 587, ""11"": 558, ""8"": 534, ""31"": 506, ""19"": 382}}",768.0,0.063667369221205,b19b80a3fcb3e7dfb2fbb075,256.0,5.63970354115177,outputs\update_signatures\hf_text2text_bb551de19a12\round_1\service_b19b80a3fcb3e7dfb2fbb075.npz,count_sketch_random_projection
hf_textgen_a43414e7c8c5,2026-04-30 10:13:53,ag_news,text_generation,hf_finetune,sshleifer/tiny-gpt2,ag_news,loss,10.8255321061934,perplexity,50286.990875037,0.00671480894088745,0.00778343677520752,Not Available,1.0,1.60218220000388,0.999849194758592,0.00246834126003466,102714.0,922334.0,35.0,922334.0,94793.0,35.0,189.0,2.0e-05,8.0,iid,"benchmark: {""total_tokens"": 29376, ""supervised_tokens"": 7775, ""supervised_ratio"": 0.2646718409586057, ""unique_supervised_token_ids"": 3122, ""top_supervised_token_ids"": {""13"": 258, ""262"": 201, ""11"": 183, ""284"": 139, ""286"": 124, ""287"": 121, ""257"": 116, ""12"": 105, ""26"": 92, ""220"": 83}}
train: {""total_tokens"": 147456, ""supervised_tokens"": 39997, ""supervised_ratio"": 0.2712470160590278, ""unique_supervised_token_ids"": 9093, ""top_supervised_token_ids"": {""13"": 1321, ""262"": 1115, ""11"": 1045, ""284"": 744, ""257"": 655, ""286"": 641, ""287"": 573, ""26"": 527, ""12"": 497, ""290"": 411}}",768.0,0.208333333333333,34fd2808f4e0da6744cae9fc,256.0,0.434937838972689,outputs\update_signatures\hf_textgen_a43414e7c8c5\round_1\service_34fd2808f4e0da6744cae9fc.npz,count_sketch_random_projection
hf_fillmask_e2489138b5ac,2026-04-30 10:13:23,EdinburghNLP/xsum,classification,hf,google/electra-small-generator,EdinburghNLP/xsum,masked_accuracy,0.497464466823798,perplexity_proxy,Not Available,0.0168812870979309,0.0188189148902893,Not Available,1.0,1.64223520000814,0.99931426364739,0.0111250928973188,13546682.0,12466.0,14.0,12466.0,26254.0,14.0,143.0,Not Available,8.0,iid,"benchmark: {""total_tokens"": 98304, ""masked_tokens"": 14001, ""masked_ratio"": 0.142425537109375, ""unique_masked_token_ids"": 3921, ""top_masked_token_ids"": {""1996"": 729, ""1012"": 540, ""1010"": 515, ""1999"": 307, ""1037"": 284, ""1997"": 265, ""2000"": 258, ""1000"": 242, ""1998"": 237, ""1011"": 193}}
train: {""total_tokens"": 98304, ""masked_tokens"": 13855, ""masked_ratio"": 0.14094034830729166, ""unique_masked_token_ids"": 3937, ""top_masked_token_ids"": {""1996"": 686, ""1012"": 548, ""1010"": 479, ""2000"": 297, ""1999"": 267, ""1037"": 266, ""1997"": 250, ""1000"": 247, ""1998"": 225, ""1011"": 184}}",768.0,0.0151435749713798,Not Available,Not Available,Not Available,Not Available,Not Available
